id	name	weight	volume	type
B8u42	Chemicals	181	0.1810	Dangerous
PupLX	Automobile Parts	9964	19.9280	Normal
irq2Z	Electronics	404	0.2020	Normal
4vlJ9	Bottled Beverages	5256	5.2560	Normal
jnZR8	Chemicals	386	0.3860	Dangerous
CLaDB	Home Appliances	36317	36.3170	Normal
sc5Pd	Automobile Parts	15949	31.8980	Normal
Ukhwi	Machinery	82089	164.1780	Normal
qubvG	Furniture	1356	1.3560	Normal
t4M25	Medical Equipment	1667	3.3340	Delicate
wi9tZ	Medical Equipment	731	1.4620	Delicate
s1aDy	Machinery	45887	91.7740	Normal
mRiZT	Medical Equipment	1990	3.9800	Delicate
XdDVC	Machinery	14196	28.3920	Normal
Rzk8V	Automobile Parts	10665	21.3300	Normal
jVnH4	Electronics	765	0.3825	Normal
tq7ak	Arts and Crafts	456	0.4560	Delicate
XYl6p	Arts and Crafts	393	0.3930	Delicate
SWz3T	Furniture	12347	12.3470	Normal
Q7Vgf	Apparel	638	0.1276	Normal
uNaji	Apparel	151	0.0302	Normal
AwK1c	Machinery	33194	66.3880	Normal
4pJom	Machinery	98047	196.0940	Normal
Vsuxe	Furniture	10469	10.4690	Normal
6yx0r	Food	14201	11.3608	Normal
HrdZF	Automobile Parts	23752	47.5040	Normal
yWDrS	Chemicals	291	0.2910	Dangerous
6jl8S	Apparel	188	0.0376	Normal
ZKNPp	Machinery	1794	3.5880	Normal
W4Vmj	Chemicals	88	0.0880	Dangerous
T4nMr	Furniture	13649	13.6490	Normal
Z7apm	Electronics	267	0.1335	Normal
BsjiR	Apparel	75	0.0150	Normal
Aao9p	Bottled Beverages	4410	4.4100	Normal
w2BVo	Chemicals	247	0.2470	Dangerous
3fa6Z	Bottled Products	7094	7.0940	Normal
mVYwb	Bottled Beverages	1904	1.9040	Normal
J0Ljr	Bottled Beverages	12786	12.7860	Normal
89mks	Furniture	12360	12.3600	Normal
zLXhd	Medical Equipment	1344	2.6880	Delicate
Tn4F0	Apparel	24	0.0048	Normal
X2wqW	Chemicals	175	0.1750	Dangerous
t6nEQ	Furniture	3324	3.3240	Normal
oDHIK	Chemicals	400	0.4000	Dangerous
T3Oce	Apparel	518	0.1036	Normal
n3Yqh	Furniture	118	0.1180	Normal
Xu5c8	Bottled Beverages	6809	6.8090	Normal
uxVbI	Chemicals	270	0.2700	Dangerous
kHMct	Arts and Crafts	660	0.6600	Delicate
tHjcM	Bottled Beverages	2684	2.6840	Normal
8MfH4	Electronics	646	0.3230	Normal
xWsRe	Apparel	874	0.1748	Normal
XWHf6	Electronics	909	0.4545	Normal
XcUmg	Arts and Crafts	801	0.8010	Delicate
mnSot	Home Appliances	54198	54.1980	Normal
61Rsc	Bottled Beverages	207	0.2070	Normal
4ypAO	Arts and Crafts	959	0.9590	Delicate
hrZBO	Food	9930	7.9440	Normal
yTrH1	Electronics	354	0.1770	Normal
BHVCh	Arts and Crafts	787	0.7870	Delicate
OUkAS	Furniture	9562	9.5620	Normal
iuHO3	Furniture	1631	1.6310	Normal
gkZ3Q	Machinery	17818	35.6360	Normal
neJxV	Apparel	790	0.1580	Normal
crL8k	Chemicals	34	0.0340	Dangerous
FViEW	Delicate Machinery	25600	51.2000	Delicate
kJvz7	Home Appliances	7457	7.4570	Normal
nvVty	Furniture	3350	3.3500	Normal
IQ6l7	Medical Equipment	1534	3.0680	Delicate
SuVYc	Automobile Parts	6388	12.7760	Normal
OtHu6	Food	10637	8.5096	Normal
dipPR	Arts and Crafts	298	0.2980	Delicate
kXeUf	Apparel	725	0.1450	Normal
FZKw6	Home Appliances	63857	63.8570	Normal
bIiGH	Delicate Machinery	40400	80.8000	Delicate
RK7jS	Chemicals	254	0.2540	Dangerous
yu2J5	Food	21572	17.2576	Normal
YosDz	Bottled Products	4074	4.0740	Normal
9wH1z	Home Appliances	14079	14.0790	Normal
Ru6PE	Machinery	13735	27.4700	Normal
1WC9D	Electronics	883	0.4415	Normal
BDO2L	Furniture	11047	11.0470	Normal
T3DsP	Home Appliances	94923	94.9230	Normal
h1QLo	Chemicals	499	0.4990	Dangerous
l9xJE	Home Appliances	26935	26.9350	Normal
SeCLc	Bottled Products	588	0.5880	Normal
gG2eC	Machinery	94290	188.5800	Normal
QOG6d	Furniture	14332	14.3320	Normal
E2GBz	Food	2769	2.2152	Normal
BbcKW	Delicate Machinery	6192	12.3840	Delicate
z4rUv	Home Appliances	55908	55.9080	Normal
4qEM8	Medical Equipment	1180	2.3600	Delicate
ohH5T	Delicate Machinery	16686	33.3720	Delicate
4Dxkm	Delicate Machinery	40936	81.8720	Delicate
liKe0	Food	15028	12.0224	Normal
SJBQi	Automobile Parts	23094	46.1880	Normal
AHZOs	Automobile Parts	14443	28.8860	Normal
1Rf59	Food	1800	1.4400	Normal
DcmhP	Medical Equipment	34	0.0680	Delicate
6UdcR	Automobile Parts	9656	19.3120	Normal
zTQvi	Food	3472	2.7776	Normal
b2NW3	Home Appliances	71350	71.3500	Normal
JKAwe	Medical Equipment	381	0.7620	Delicate
2mOv1	Furniture	1110	1.1100	Normal
9GC3M	Medical Equipment	2021	4.0420	Delicate
vjHCN	Machinery	97930	195.8600	Normal
Vav86	Medical Equipment	1330	2.6600	Delicate
ryJzO	Electronics	965	0.4825	Normal
5vCUw	Bottled Beverages	3204	3.2040	Normal
XUzHl	Chemicals	123	0.1230	Dangerous
dB90p	Automobile Parts	19522	39.0440	Normal
3a9hJ	Machinery	26925	53.8500	Normal
fFHTw	Automobile Parts	22938	45.8760	Normal
iIKn1	Medical Equipment	1819	3.6380	Delicate
or6Kk	Automobile Parts	14200	28.4000	Normal
X1tiE	Food	2587	2.0696	Normal
L6yXe	Food	23675	18.9400	Normal
jaXlh	Apparel	449	0.0898	Normal
sYLkd	Arts and Crafts	211	0.2110	Delicate
TKYCi	Machinery	80969	161.9380	Normal
FChQs	Medical Equipment	1302	2.6040	Delicate
MVv4A	Furniture	5017	5.0170	Normal
O0Bdy	Automobile Parts	23844	47.6880	Normal
vMofW	Food	19132	15.3056	Normal
BM4yX	Arts and Crafts	810	0.8100	Delicate
y6VEr	Medical Equipment	2138	4.2760	Delicate
tDZWc	Arts and Crafts	327	0.3270	Delicate
Qo86r	Bottled Products	6074	6.0740	Normal
SmWQk	Bottled Beverages	10981	10.9810	Normal
GfBap	Medical Equipment	2395	4.7900	Delicate
CVAl2	Food	10931	8.7448	Normal
fV6oR	Furniture	2503	2.5030	Normal
i7frk	Apparel	452	0.0904	Normal
nBQsh	Chemicals	96	0.0960	Dangerous
LwMBA	Arts and Crafts	973	0.9730	Delicate
waJXe	Machinery	62320	124.6400	Normal
gRdbe	Medical Equipment	152	0.3040	Delicate
r7q9Z	Medical Equipment	1940	3.8800	Delicate
gLyI9	Delicate Machinery	26525	53.0500	Delicate
rN9yg	Arts and Crafts	243	0.2430	Delicate
4tBHe	Delicate Machinery	22671	45.3420	Delicate
DSTnM	Apparel	982	0.1964	Normal
nIquj	Arts and Crafts	641	0.6410	Delicate
nFKrM	Automobile Parts	20572	41.1440	Normal
kw3un	Automobile Parts	4254	8.5080	Normal
Qc3Bl	Food	8736	6.9888	Normal
spnYi	Food	19526	15.6208	Normal
jObfP	Apparel	154	0.0308	Normal
Jrevs	Automobile Parts	23939	47.8780	Normal
m8WqU	Machinery	16423	32.8460	Normal
8AuvQ	Bottled Products	9573	9.5730	Normal
hvQcF	Chemicals	387	0.3870	Dangerous
5WIYM	Furniture	10717	10.7170	Normal
etPTa	Automobile Parts	9002	18.0040	Normal
a47Jo	Home Appliances	90287	90.2870	Normal
jak9X	Machinery	65876	131.7520	Normal
TkPxF	Automobile Parts	9170	18.3400	Normal
cDv6V	Bottled Beverages	13874	13.8740	Normal
X71UM	Home Appliances	70319	70.3190	Normal
6lRE7	Food	4651	3.7208	Normal
gzMdC	Apparel	323	0.0646	Normal
BmJDv	Apparel	681	0.1362	Normal
25IVB	Medical Equipment	1192	2.3840	Delicate
3zbLw	Furniture	1776	1.7760	Normal
pXwit	Delicate Machinery	27914	55.8280	Delicate
B4L10	Automobile Parts	13095	26.1900	Normal
rZjxa	Medical Equipment	1587	3.1740	Delicate
RwYcd	Medical Equipment	1949	3.8980	Delicate
DFzPg	Chemicals	418	0.4180	Dangerous
b5dTS	Electronics	476	0.2380	Normal
ziTWt	Medical Equipment	96	0.1920	Delicate
6qIlQ	Delicate Machinery	31557	63.1140	Delicate
swmBr	Delicate Machinery	1385	2.7700	Delicate
oNwce	Bottled Products	3883	3.8830	Normal
8nQzV	Medical Equipment	1315	2.6300	Delicate
6cnrk	Apparel	68	0.0136	Normal
to4iF	Medical Equipment	1318	2.6360	Delicate
Dueow	Home Appliances	39635	39.6350	Normal
CxUX0	Delicate Machinery	8144	16.2880	Delicate
ZRV2W	Automobile Parts	13459	26.9180	Normal
LVjDE	Chemicals	27	0.0270	Dangerous
qB46f	Furniture	12462	12.4620	Normal
OQNVy	Furniture	10999	10.9990	Normal
G1uKa	Bottled Products	7611	7.6110	Normal
iIrFL	Home Appliances	99883	99.8830	Normal
9Fpyf	Electronics	390	0.1950	Normal
1PlTq	Home Appliances	41064	41.0640	Normal
dQ0yJ	Machinery	48334	96.6680	Normal
CPulQ	Delicate Machinery	24401	48.8020	Delicate
TwULe	Automobile Parts	22514	45.0280	Normal
9zkQj	Furniture	7012	7.0120	Normal
rHsyo	Apparel	196	0.0392	Normal
Iy2Ru	Furniture	888	0.8880	Normal
UT6Iw	Apparel	168	0.0336	Normal
gxc9f	Arts and Crafts	23	0.0230	Delicate
Q3n4g	Food	20826	16.6608	Normal
46Nqk	Bottled Products	696	0.6960	Normal
P4Z62	Machinery	44400	88.8000	Normal
JLVYt	Bottled Beverages	12769	12.7690	Normal
l3ZI9	Electronics	106	0.0530	Normal
07Psh	Home Appliances	88211	88.2110	Normal
j5Zg1	Bottled Beverages	293	0.2930	Normal
hoEec	Furniture	7601	7.6010	Normal
JAxOI	Apparel	55	0.0110	Normal
9c8nA	Electronics	777	0.3885	Normal
rtk14	Furniture	5497	5.4970	Normal
bfwTL	Bottled Beverages	5685	5.6850	Normal
t8E3r	Automobile Parts	6334	12.6680	Normal
3t7Rx	Electronics	524	0.2620	Normal
lF3CJ	Chemicals	452	0.4520	Dangerous
gSU6M	Furniture	14985	14.9850	Normal
fk9eC	Medical Equipment	1061	2.1220	Delicate
gx5Yo	Bottled Products	5821	5.8210	Normal
ms3uY	Bottled Beverages	1969	1.9690	Normal
5uVOU	Machinery	93954	187.9080	Normal
RQPnl	Furniture	11104	11.1040	Normal
NUCMr	Medical Equipment	1088	2.1760	Delicate
mS7Nr	Furniture	7160	7.1600	Normal
GBOlI	Automobile Parts	9867	19.7340	Normal
dsJpI	Delicate Machinery	37521	75.0420	Delicate
g2LRk	Bottled Products	9268	9.2680	Normal
gBlDJ	Apparel	263	0.0526	Normal
4xaZ2	Electronics	12	0.0060	Normal
RBLY6	Bottled Products	246	0.2460	Normal
wLZT3	Arts and Crafts	806	0.8060	Delicate
75gLY	Electronics	559	0.2795	Normal
tQwDy	Machinery	13196	26.3920	Normal
gDKIX	Food	22141	17.7128	Normal
lGxfZ	Arts and Crafts	713	0.7130	Delicate
JljYh	Delicate Machinery	15968	31.9360	Delicate
DJlc3	Automobile Parts	3410	6.8200	Normal
BvM7m	Chemicals	152	0.1520	Dangerous
0KMqP	Food	8795	7.0360	Normal
Y3uxO	Medical Equipment	1519	3.0380	Delicate
Sg4D6	Bottled Products	7399	7.3990	Normal
HInAf	Automobile Parts	16799	33.5980	Normal
eFDiP	Bottled Beverages	13682	13.6820	Normal
Py4Bo	Bottled Beverages	8413	8.4130	Normal
uZVSW	Furniture	10812	10.8120	Normal
PBA72	Electronics	7	0.0035	Normal
GsNXo	Furniture	10183	10.1830	Normal
JS8ZD	Machinery	22584	45.1680	Normal
Q49CO	Furniture	12668	12.6680	Normal
gbF1w	Home Appliances	52770	52.7700	Normal
NSyfH	Machinery	66329	132.6580	Normal
7koZE	Chemicals	79	0.0790	Dangerous
FnwDi	Delicate Machinery	17317	34.6340	Delicate
F7wsW	Home Appliances	56775	56.7750	Normal
r6mEv	Chemicals	2	0.0020	Dangerous
fiKYw	Home Appliances	96046	96.0460	Normal
vtKDs	Home Appliances	62442	62.4420	Normal
hcu7X	Delicate Machinery	48931	97.8620	Delicate
V2koz	Electronics	98	0.0490	Normal
4xetA	Arts and Crafts	626	0.6260	Delicate
c2SNa	Home Appliances	76202	76.2020	Normal
zDVRN	Bottled Products	4154	4.1540	Normal
TIlzH	Medical Equipment	256	0.5120	Delicate
2pgWe	Bottled Beverages	1086	1.0860	Normal
1fLMQ	Food	13036	10.4288	Normal
U1RCF	Food	8836	7.0688	Normal
KCu3P	Chemicals	423	0.4230	Dangerous
pjwBO	Machinery	45695	91.3900	Normal
CtDdF	Arts and Crafts	919	0.9190	Delicate
as4Ww	Chemicals	430	0.4300	Dangerous
AQWpZ	Automobile Parts	5259	10.5180	Normal
8Qvq7	Medical Equipment	190	0.3800	Delicate
MYRoI	Delicate Machinery	43549	87.0980	Delicate
yKN2G	Furniture	12260	12.2600	Normal
bBkH3	Machinery	8845	17.6900	Normal
prJcn	Bottled Products	8871	8.8710	Normal
ezGn1	Home Appliances	72713	72.7130	Normal
gOUJN	Home Appliances	10949	10.9490	Normal
vSfCK	Furniture	9420	9.4200	Normal
I5E1C	Food	17353	13.8824	Normal
rARYj	Furniture	3788	3.7880	Normal
6h9Pu	Medical Equipment	548	1.0960	Delicate
D2gT6	Bottled Products	1822	1.8220	Normal
nuhQM	Medical Equipment	1715	3.4300	Delicate
AQG6l	Food	24409	19.5272	Normal
8ntTr	Electronics	662	0.3310	Normal
Vd7lJ	Food	17120	13.6960	Normal
tveoa	Automobile Parts	13563	27.1260	Normal
yTfq5	Medical Equipment	332	0.6640	Delicate
0zvm7	Bottled Products	7675	7.6750	Normal
oKxcb	Delicate Machinery	42485	84.9700	Delicate
YQSr5	Bottled Beverages	4109	4.1090	Normal
TA9wS	Bottled Products	4055	4.0550	Normal
RPWlE	Furniture	12451	12.4510	Normal
MLjDo	Apparel	683	0.1366	Normal
Bu7nD	Electronics	257	0.1285	Normal
lj4nb	Machinery	98756	197.5120	Normal
j16NJ	Bottled Beverages	13800	13.8000	Normal
DamrP	Furniture	3019	3.0190	Normal
QLvGK	Machinery	17229	34.4580	Normal
thoeb	Arts and Crafts	839	0.8390	Delicate
xiaUR	Food	4620	3.6960	Normal
T14vj	Bottled Beverages	11836	11.8360	Normal
t8E7J	Food	5082	4.0656	Normal
fspaw	Furniture	3352	3.3520	Normal
Hwj56	Bottled Products	5821	5.8210	Normal
EubDt	Chemicals	449	0.4490	Dangerous
MkAG3	Food	105	0.0840	Normal
Ocqfw	Automobile Parts	14855	29.7100	Normal
vjM2p	Arts and Crafts	199	0.1990	Delicate
kprVM	Machinery	42148	84.2960	Normal
3QqWO	Delicate Machinery	40936	81.8720	Delicate
RfXlC	Home Appliances	82677	82.6770	Normal
glDSa	Automobile Parts	23690	47.3800	Normal
1wLrX	Arts and Crafts	859	0.8590	Delicate
YINgQ	Chemicals	235	0.2350	Dangerous
n7xo0	Bottled Products	6332	6.3320	Normal
qCnGS	Automobile Parts	6908	13.8160	Normal
wG3Zo	Machinery	34485	68.9700	Normal
8WntC	Home Appliances	22368	22.3680	Normal
AZ6dH	Medical Equipment	438	0.8760	Delicate
RsPXC	Automobile Parts	18439	36.8780	Normal
rVDPp	Apparel	783	0.1566	Normal
VgKet	Arts and Crafts	971	0.9710	Delicate
0skAb	Arts and Crafts	812	0.8120	Delicate
mjAN1	Chemicals	437	0.4370	Dangerous
WhQmX	Automobile Parts	16403	32.8060	Normal
tkrne	Electronics	768	0.3840	Normal
bNLO9	Electronics	159	0.0795	Normal
kwR72	Arts and Crafts	113	0.1130	Delicate
1d6kz	Food	14161	11.3288	Normal
PDzLi	Bottled Products	110	0.1100	Normal
DWiCj	Furniture	9256	9.2560	Normal
4Ge9C	Delicate Machinery	19603	39.2060	Delicate
sRtDz	Delicate Machinery	13901	27.8020	Delicate
qrWjG	Furniture	11929	11.9290	Normal
lDojm	Chemicals	149	0.1490	Dangerous
YQU16	Arts and Crafts	931	0.9310	Delicate
3vs7Y	Medical Equipment	1930	3.8600	Delicate
aOCrf	Home Appliances	51534	51.5340	Normal
hQHK4	Home Appliances	17367	17.3670	Normal
UWDgx	Delicate Machinery	10014	20.0280	Delicate
QYI8y	Machinery	90585	181.1700	Normal
QdXiG	Arts and Crafts	790	0.7900	Delicate
rCVMp	Food	23160	18.5280	Normal
mB2nM	Home Appliances	55442	55.4420	Normal
uTWAz	Furniture	528	0.5280	Normal
fAG2I	Chemicals	230	0.2300	Dangerous
FzucS	Apparel	107	0.0214	Normal
PQgIa	Apparel	234	0.0468	Normal
utRQe	Delicate Machinery	37249	74.4980	Delicate
faLWC	Automobile Parts	24352	48.7040	Normal
DhB07	Home Appliances	52402	52.4020	Normal
H6p9Y	Medical Equipment	579	1.1580	Delicate
gy9UZ	Apparel	143	0.0286	Normal
K0qng	Machinery	93837	187.6740	Normal
4VkUg	Chemicals	486	0.4860	Dangerous
cHBCz	Apparel	891	0.1782	Normal
7eC94	Bottled Products	6513	6.5130	Normal
uMkiG	Home Appliances	91882	91.8820	Normal
mplId	Electronics	251	0.1255	Normal
xZijM	Machinery	37167	74.3340	Normal
YSVtj	Delicate Machinery	41372	82.7440	Delicate
jM3f7	Arts and Crafts	789	0.7890	Delicate
WyUH1	Machinery	72374	144.7480	Normal
0HSz5	Medical Equipment	1696	3.3920	Delicate
wfisE	Bottled Products	686	0.6860	Normal
btlj0	Delicate Machinery	24784	49.5680	Delicate
zpv3T	Electronics	653	0.3265	Normal
2eykK	Arts and Crafts	563	0.5630	Delicate
Aqb9n	Machinery	16813	33.6260	Normal
t8CQP	Bottled Beverages	8290	8.2900	Normal
mHpFE	Bottled Products	8105	8.1050	Normal
gHnAw	Apparel	40	0.0080	Normal
mAerv	Electronics	266	0.1330	Normal
Dhd4s	Electronics	110	0.0550	Normal
smSPM	Bottled Beverages	6546	6.5460	Normal
4MKvG	Medical Equipment	601	1.2020	Delicate
ryh4x	Chemicals	295	0.2950	Dangerous
oTM7V	Bottled Beverages	7354	7.3540	Normal
ERAFx	Chemicals	379	0.3790	Dangerous
qwtiG	Electronics	759	0.3795	Normal
mzMjY	Furniture	3349	3.3490	Normal
lON2F	Medical Equipment	2021	4.0420	Delicate
ThAZa	Electronics	824	0.4120	Normal
Tz4tu	Apparel	182	0.0364	Normal
ShjAo	Home Appliances	4503	4.5030	Normal
4cs3w	Food	9898	7.9184	Normal
HJAs3	Food	3442	2.7536	Normal
PKcmL	Automobile Parts	23146	46.2920	Normal
XtnK7	Food	9096	7.2768	Normal
Dr5ws	Arts and Crafts	790	0.7900	Delicate
kOLVc	Electronics	450	0.2250	Normal
iato4	Food	6007	4.8056	Normal
rgCYT	Automobile Parts	6347	12.6940	Normal
2kntT	Machinery	75134	150.2680	Normal
B0SLv	Automobile Parts	19596	39.1920	Normal
g3o5V	Food	8023	6.4184	Normal
gyNzx	Delicate Machinery	26648	53.2960	Delicate
XmJec	Bottled Products	3122	3.1220	Normal
XcEOJ	Automobile Parts	24990	49.9800	Normal
s69NX	Delicate Machinery	14406	28.8120	Delicate
mfEtO	Furniture	3296	3.2960	Normal
EuLPm	Bottled Beverages	4789	4.7890	Normal
yo1IO	Arts and Crafts	872	0.8720	Delicate
yvS8Y	Electronics	244	0.1220	Normal
QBYvp	Apparel	168	0.0336	Normal
N5tEh	Bottled Beverages	6002	6.0020	Normal
9bajk	Food	12503	10.0024	Normal
0eohj	Automobile Parts	285	0.5700	Normal
zZYHn	Medical Equipment	289	0.5780	Delicate
qjZEs	Home Appliances	83623	83.6230	Normal
DMQ0y	Food	17912	14.3296	Normal
ZwVNP	Electronics	590	0.2950	Normal
aOUr7	Arts and Crafts	506	0.5060	Delicate
a2iW7	Bottled Beverages	9506	9.5060	Normal
vCSpf	Automobile Parts	7927	15.8540	Normal
w8G67	Arts and Crafts	147	0.1470	Delicate
Cj4VB	Electronics	495	0.2475	Normal
1jlQw	Apparel	864	0.1728	Normal
P19BY	Machinery	19533	39.0660	Normal
CRYNP	Food	1020	0.8160	Normal
w7hxp	Chemicals	295	0.2950	Dangerous
G5xwk	Automobile Parts	3289	6.5780	Normal
nRXEY	Arts and Crafts	29	0.0290	Delicate
cJl6n	Machinery	42442	84.8840	Normal
i8BXM	Apparel	194	0.0388	Normal
VxpE7	Apparel	273	0.0546	Normal
ZzpiL	Bottled Products	1599	1.5990	Normal
vXR14	Home Appliances	33230	33.2300	Normal
Nd05X	Home Appliances	25567	25.5670	Normal
niO1L	Arts and Crafts	862	0.8620	Delicate
xX9zC	Bottled Products	5579	5.5790	Normal
ZG9zy	Bottled Beverages	12819	12.8190	Normal
ZrUX3	Automobile Parts	8817	17.6340	Normal
82AWa	Arts and Crafts	269	0.2690	Delicate
34RnS	Food	15064	12.0512	Normal
3xyIb	Apparel	696	0.1392	Normal
15nWU	Automobile Parts	4813	9.6260	Normal
Zd1Yf	Electronics	825	0.4125	Normal
aeKxi	Furniture	11461	11.4610	Normal
0gRPZ	Arts and Crafts	299	0.2990	Delicate
R6psg	Medical Equipment	1088	2.1760	Delicate
sdwcO	Furniture	10783	10.7830	Normal
DqZ2B	Furniture	9842	9.8420	Normal
gbRLK	Food	13132	10.5056	Normal
ihmuf	Apparel	535	0.1070	Normal
cTnZO	Automobile Parts	5465	10.9300	Normal
BjzyR	Furniture	358	0.3580	Normal
W8keq	Medical Equipment	1723	3.4460	Delicate
YmN6k	Bottled Beverages	2476	2.4760	Normal
iJAxD	Chemicals	306	0.3060	Dangerous
nWf9t	Machinery	35819	71.6380	Normal
O4KAz	Chemicals	123	0.1230	Dangerous
G8RkD	Medical Equipment	2292	4.5840	Delicate
xMgoY	Bottled Products	5973	5.9730	Normal
bs691	Electronics	804	0.4020	Normal
bozRy	Medical Equipment	1395	2.7900	Delicate
iA9Vx	Bottled Beverages	13813	13.8130	Normal
GrLZR	Food	1429	1.1432	Normal
1UjOC	Apparel	750	0.1500	Normal
2Ni6R	Bottled Beverages	5939	5.9390	Normal
m8jGW	Bottled Beverages	1816	1.8160	Normal
eUIap	Electronics	248	0.1240	Normal
1GKFo	Bottled Products	5987	5.9870	Normal
5WbSX	Chemicals	59	0.0590	Dangerous
aNhIl	Medical Equipment	903	1.8060	Delicate
fvVcb	Food	18355	14.6840	Normal
ZXcOJ	Chemicals	176	0.1760	Dangerous
mtS9w	Arts and Crafts	537	0.5370	Delicate
VH0DE	Bottled Beverages	2342	2.3420	Normal
8zdxH	Bottled Beverages	11460	11.4600	Normal
z7uYZ	Bottled Products	9787	9.7870	Normal
W3pI7	Machinery	20559	41.1180	Normal
foe5u	Machinery	15047	30.0940	Normal
v15bL	Arts and Crafts	815	0.8150	Delicate
0JrdS	Bottled Products	8956	8.9560	Normal
yCMbg	Apparel	44	0.0088	Normal
rQPtY	Automobile Parts	5372	10.7440	Normal
vVhZG	Medical Equipment	2182	4.3640	Delicate
YHvt6	Furniture	14075	14.0750	Normal
5qQYK	Apparel	831	0.1662	Normal
AY9hb	Bottled Beverages	14273	14.2730	Normal
DRCKr	Bottled Products	4012	4.0120	Normal
mqcug	Electronics	210	0.1050	Normal
3Wfca	Automobile Parts	14073	28.1460	Normal
SLe57	Chemicals	228	0.2280	Dangerous
Cig8u	Electronics	976	0.4880	Normal
79s2q	Delicate Machinery	43733	87.4660	Delicate
7ZUeW	Food	6845	5.4760	Normal
Avnzb	Automobile Parts	7150	14.3000	Normal
Ooz1s	Bottled Products	6285	6.2850	Normal
u3nVr	Arts and Crafts	942	0.9420	Delicate
s1ObX	Automobile Parts	3768	7.5360	Normal
CDwxE	Bottled Beverages	11946	11.9460	Normal
P3cVn	Chemicals	286	0.2860	Dangerous
j3wbu	Chemicals	195	0.1950	Dangerous
lFE0L	Food	5320	4.2560	Normal
sU0jh	Home Appliances	6922	6.9220	Normal
36WAP	Automobile Parts	20188	40.3760	Normal
JCGwz	Delicate Machinery	37460	74.9200	Delicate
6E8Wh	Delicate Machinery	22035	44.0700	Delicate
1HwjU	Automobile Parts	16568	33.1360	Normal
0l2WQ	Apparel	153	0.0306	Normal
YnfuX	Electronics	365	0.1825	Normal
KGkgv	Home Appliances	45138	45.1380	Normal
Z10Ga	Food	14398	11.5184	Normal
UsTaH	Food	22439	17.9512	Normal
iraVI	Bottled Beverages	3010	3.0100	Normal
9CYdt	Apparel	887	0.1774	Normal
6Yf1y	Furniture	14205	14.2050	Normal
kKEl1	Food	5056	4.0448	Normal
BszxG	Delicate Machinery	15094	30.1880	Delicate
GHxkM	Arts and Crafts	612	0.6120	Delicate
C6UKu	Machinery	18584	37.1680	Normal
yLX1u	Electronics	871	0.4355	Normal
jqTth	Arts and Crafts	428	0.4280	Delicate
O4S2i	Chemicals	448	0.4480	Dangerous
TRZAu	Home Appliances	70743	70.7430	Normal
0v6V1	Medical Equipment	701	1.4020	Delicate
KwuYH	Apparel	574	0.1148	Normal
dOfle	Medical Equipment	1076	2.1520	Delicate
bDV20	Machinery	99421	198.8420	Normal
94ObT	Bottled Products	1953	1.9530	Normal
gwMj1	Machinery	54006	108.0120	Normal
YJP0U	Food	5262	4.2096	Normal
5DPCy	Machinery	85632	171.2640	Normal
pVS4z	Medical Equipment	2254	4.5080	Delicate
AIQ60	Bottled Beverages	4180	4.1800	Normal
XsYro	Automobile Parts	14314	28.6280	Normal
MA1HT	Bottled Beverages	10782	10.7820	Normal
VbHzg	Bottled Beverages	12371	12.3710	Normal
Uk6M2	Apparel	941	0.1882	Normal
32SDe	Delicate Machinery	20594	41.1880	Delicate
Myfe5	Food	20285	16.2280	Normal
RQFcu	Food	20496	16.3968	Normal
nfuqD	Machinery	94819	189.6380	Normal
Ex5UL	Apparel	695	0.1390	Normal
nqlHf	Medical Equipment	516	1.0320	Delicate
Dn8Qk	Automobile Parts	1562	3.1240	Normal
DaW25	Home Appliances	40978	40.9780	Normal
buM9C	Delicate Machinery	1165	2.3300	Delicate
stjXz	Delicate Machinery	24920	49.8400	Delicate
VeC3M	Medical Equipment	420	0.8400	Delicate
FSGI5	Electronics	622	0.3110	Normal
busyU	Furniture	457	0.4570	Normal
ZO9bf	Chemicals	52	0.0520	Dangerous
qeULz	Electronics	770	0.3850	Normal
zw8PE	Arts and Crafts	795	0.7950	Delicate
lnw3X	Arts and Crafts	323	0.3230	Delicate
V2r63	Electronics	989	0.4945	Normal
Sq2Cz	Bottled Beverages	1285	1.2850	Normal
WTfCp	Bottled Beverages	7788	7.7880	Normal
qm5Ju	Arts and Crafts	564	0.5640	Delicate
WvsLA	Automobile Parts	1934	3.8680	Normal
LDMrt	Chemicals	208	0.2080	Dangerous
XDnGi	Chemicals	487	0.4870	Dangerous
UFuS7	Electronics	2	0.0010	Normal
3Zyb6	Delicate Machinery	712	1.4240	Delicate
bjMxl	Electronics	728	0.3640	Normal
d7OmI	Bottled Beverages	5317	5.3170	Normal
z1nkX	Apparel	244	0.0488	Normal
LcTlA	Apparel	350	0.0700	Normal
9UgZ1	Bottled Products	8478	8.4780	Normal
RX5kY	Arts and Crafts	81	0.0810	Delicate
3O2JX	Delicate Machinery	22407	44.8140	Delicate
9vkDl	Apparel	743	0.1486	Normal
ZdAqN	Arts and Crafts	207	0.2070	Delicate
JNfDx	Automobile Parts	19050	38.1000	Normal
aKplV	Home Appliances	55173	55.1730	Normal
xE6bO	Home Appliances	55349	55.3490	Normal
0YxKR	Delicate Machinery	363	0.7260	Delicate
HoM3g	Medical Equipment	1923	3.8460	Delicate
mDT1w	Food	8890	7.1120	Normal
a9mw0	Bottled Beverages	12037	12.0370	Normal
