id	origin	destination	route	departure	vehicle
AQCS22	CZH	GTH	CZGTAQ	4/04/2015 - 17:20	Odyssey
ACT011	SCL	AEP	STBAA	2/04/2015 - 11:30	B7701
ACT012	AEP	SCL	STBAA	3/04/2015 - 10:20	B7701
ACT013	SCL	AEP	STBAA	4/04/2015 - 11:30	B7701
ACT014	AEP	SCL	STBAA	5/04/2015 - 10:20	B7701
ACT021	SCL	ATL	STATA	2/04/2015 - 15:30	B7702
ACT022	ATL	SCL	STATA	3/04/2015 - 16:20	B7702
ACT023	SCL	ATL	STATA	4/04/2015 - 15:30	B7702
ACT024	ATL	SCL	STATA	5/04/2015 - 16:20	B7702
ACT031	SCL	MIA	STMIA	2/04/2015 - 16:10	B7703
ACT032	MIA	SCL	STMIA	3/04/2015 - 17:10	B7703
ACT033	SCL	MIA	STMIA	4/04/2015 - 16:10	B7703
ACT034	MIA	SCL	STMIA	5/04/2015 - 17:10	B7703
ACT041	SCL	LIM	STLMA	2/04/2015 - 22:40	B7704
ACT042	LIM	SCL	STLMA	3/04/2015 - 22:30	B7704
ACT043	SCL	LIM	STLMA	4/04/2015 - 22:40	B7704
ACT044	LIM	SCL	STLMA	5/04/2015 - 22:30	B7704
ACT051	SCL	LAX	STLAA	2/04/2015 - 19:05	B7705
ACT052	LAX	SCL	STLAA	3/04/2015 - 18:50	B7705
ACT053	SCL	LAX	STLAA	4/04/2015 - 19:05	B7705
ACT054	LAX	SCL	STLAA	5/04/2015 - 18:50	B7705
AQCT11	VPH	LAH	VPLAAQ	3/04/2015 - 18:40	P101
AQCT21	LAH	VPH	VPLAAQ	3/04/2015 - 18:40	P102
TCT011	STC	CPC	STCPT	2/04/2015 - 10:30	VFND01
TCT012	CPC	AFC	CPAFT	3/04/2015 - 10:30	VFND01
TCT013	AFC	CLC	AFCLT	4/04/2015 - 10:30	VFND01
TCT014	CLC	IQC	CLIQT	5/04/2015 - 10:30	VFND01
TCT021	STC	VPC	STVPT	2/04/2015 - 10:10	VFND02
TCT022	VPC	STC	STVPT	2/04/2015 - 18:40	VFND02
TCT023	STC	VPC	STVPT	3/04/2015 - 10:10	VFND02
TCT024	VPC	STC	STVPT	3/04/2015 - 18:40	VFND02
TCT025	STC	VPC	STVPT	4/04/2015 - 10:10	VFND02
TCT026	VPC	STC	STVPT	4/04/2015 - 18:40	VFND02
TCT027	STC	VPC	STVPT	5/04/2015 - 10:10	VFND02
TCT028	VPC	STC	STVPT	5/04/2015 - 18:40	VFND02
TCT031	STC	CHC	STCHT	2/04/2015 - 13:40	VFND03
TCT032	CHC	TMC	CHTMT	3/04/2015 - 14:50	VFND03
TCT033	TMC	PMQ	TMPMT	4/04/2015 - 13:40	VFND03
TCT034	PMQ	TMC	TMPMT	5/04/2015 - 14:30	VFND03
TCT041	CCC	CHC	CHCCT	2/04/2015 - 10:50	VFND04
TCT042	CHC	STC	STCHT	2/04/2015 - 14:40	VFND04
TCT043	STC	LVC	STLVT	3/04/2015 - 11:10	VFND04
TCT044	LVC	STC	STLVT	4/04/2015 - 12:20	VFND04
TCT045	STC	CHC	STCHT	5/04/2015 - 9:40	VFND04
TCT046	CHC	CCC	CHCCT	5/04/2015 - 17:10	VFND04
TCT051	PAC	PNC	PAPNT	2/04/2015 - 12:40	VFND05
TCT052	PNC	PAC	PAPNT	3/04/2015 - 12:40	VFND05
TCT053	PAC	PNC	PAPNT	4/04/2015 - 12:40	VFND05
TCT054	PNC	PAC	PAPNT	5/04/2015 - 12:40	VFND05
TCT061	VPC	STC	STVPT	2/04/2015 - 22:40	DT4121
TCT062	STC	LVC	STLVT	3/04/2015 - 01:50	DT4121
TCT063	LVC	STC	STLVT	4/04/2015 - 22:30	DT4121
TCT064	STC	VPC	STVPT	5/04/2015 - 03:40	DT4121
TCT071	CCC	CHC	CHCCT	2/04/2015 - 22:35	DT4122
TCT072	CHC	TMC	CHTMT	3/04/2015 - 00:20	DT4122
TCT073	TMC	VDC	TMVDT	3/04/2015 - 22:50	DT4122
TCT074	VDC	OSC	VDOST	4/04/2015 - 01:40	DT4122
